space_name,space_id,folder_name,folder_id
Accounting,90100492320,Bryan Bateman,90101543397
Accounting,90100492320,General,90101543403
Accounting,90100492320,Incoming Tasks,90101543402
Accounting,90100492320,Liberty Lighten's Team,90184198287
Accounting,90100492320,Management Team,90101543392
Accounting,90100492320,Monthly Meetings,90180698131
Accounting,90100492320,Off Boarding,90182634244
Accounting,90100492320,On Boarding,90182634243
Accounting,90100492320,VA Tasks,90182137443
Audrey Walker,90189087279,Brookhaven Farms ,901811225963
Audrey Walker,90189087279,Catch America ,901812547559
Audrey Walker,90189087279,Cedar Brands ,901813445493
Audrey Walker,90189087279,Incoming Tasks,901812186000
Audrey Walker,90189087279,ProSENDR,901812898784
Audrey Walker,90189087279,USA Feature Media LLC ,901812184723
Beau Jensen,2365799,Bryan WIG,129065212
Beau Jensen,2365799,Cam WIG,129065213
Beau Jensen,2365799,Client Services ,129044002
Beau Jensen,2365799,Creative Home Ideas,86204640
Beau Jensen,2365799,Design Team ,90031723630
Beau Jensen,2365799,Distribution,135127486
Beau Jensen,2365799,Eli and Elm,90188127741
Beau Jensen,2365799,General Tasks,4460011
Beau Jensen,2365799,Inbox,90090234158
Beau Jensen,2365799,Kee Jensen WIG,129065217
Beau Jensen,2365799,Redmond,4387333
Brock Arbon,90060299713, Regine Tweezers,90186916014
Brock Arbon,90060299713,All Brands,90060990268
Brock Arbon,90060299713,Benchmark,90182136977
Brock Arbon,90060299713,Big Sky/Gold Plug,90101349610
Brock Arbon,90060299713,Client Offboarding Template,901810590505
Brock Arbon,90060299713,Creative Design Request,90184328826
Brock Arbon,90060299713,Cutting Edge Firewood,90184398724
Brock Arbon,90060299713,General,90060990310
Brock Arbon,90060299713,Gooseworks/Arterra,901811698500
Brock Arbon,90060299713,Incoming Tasks,90091376396
Brock Arbon,90060299713,Juvenon,90180761822
Brock Arbon,90060299713,Pedi Pocket,98157129
Brock Arbon,90060299713,SFH,90101369152
Brock Arbon,90060299713,SmartStraps (Distribution),901812469723
Brock Arbon,90060299713,Templates,90061086584
Brock Arbon,90060299713,WIGs,901811265113
Brock Arbon,90060299713,Winston,901812281733
Bryan Bateman,2357587,Distribution Clients,90060096819
Bryan Bateman,2357587,Franklin Planner,72119010
Bryan Bateman,2357587,Gostrider,90090902136
Bryan Bateman,2357587,I Kee Jensenl You,40183909
Bryan Bateman,2357587,Incoming Tasks,90060096817
Bryan Bateman,2357587,Mic-Lock,115590104
Bryan Bateman,2357587,Peanut's Bake Shop,40183910
Bryan Bateman,2357587,REFERENCE,33761721
Bryan Bateman,2357587,Rise Bar Energy,115778029
Bryan Bateman,2357587,Status Accessories,90182973819
Bryan Bateman,2357587,Sunwink,90185307861
Bryan Bateman,2357587,Tropical Oasis,90180478666
Bryan Bateman,2357587,VP Folder,901811497379
Cameron Meador,2365772,Brand Analysis,90183780858
Cameron Meador,2365772,Director Tasks,98692032
Cameron Meador,2365772,Distribution,90183780990
Cameron Meador,2365772,Incoming Tasks,90183947306
Cameron Meador,2365772,Operations,90183781418
Cameron Meador,2365772,Pro Lash,90060709421
Cameron Meador,2365772,Warehouse Workflow,90183780855
Dallin Lindsey,90187163477,Custom X,901812216224
Dallin Lindsey,90187163477,Dallin Lindsey WIG Meeting,90189819542
Dallin Lindsey,90187163477,Fire One Up,90180540615
Dallin Lindsey,90187163477,MyBennu,901810075652
Dallin Lindsey,90187163477,Red Flower,90184163748
Dallin Lindsey,90187163477,Task Management,901810587176
Distribution Account Management,901810568300,Distribution Tasks,901812499403
Distribution Account Management,901810568300,Evolved Distribution Acct,90185926868
Distribution Account Management,901810568300,Jensen Boys Acct,90185926865
Distribution Account Management,901810568300,🚀 Distribution Onboarding,901811951085
Distribution Operations,90182127048,Distribution SOP,90184602108
Distribution Operations,90182127048,Logistics/Mitch,901810560689
Distribution Operations,90182127048,Meeting Agenda's,132029749
Distribution Operations,90182127048,Warehouse SOP,901811727893
Distribution Operations,90182127048,⚠️ 99 (Distribution) Problems . . .,901812411958
Distribution Operations,90182127048,🏈 OHIO Warehouse Operations,901812789600
Distribution Operations,90182127048,🏔️ UTAH Warehouse Operations,90182570243
Distribution Operations,90182127048,📦 Client → Amazon (PO → FBA),901812789855
Distribution Operations,90182127048,🔆 Client → Walmart (PO → WFS),901813301899
Distribution Operations,90182127048,🗂️ FInale/Netsuite,90188406861
Distribution Operations,90182127048,🧾 Purchase Orders,90182053429
Donny Harding,90060309736,Ashman,901811529369
Donny Harding,90060309736,Bonk Golf,90182879311
Donny Harding,90060309736,Brazmedics,90051384398
Donny Harding,90060309736,Cedar Mountain,90183489725
Donny Harding,90060309736,Down Etc.,90181685767
Donny Harding,90060309736,ESC - $8K,129007979
Donny Harding,90060309736,General Tasks,90060986277
Donny Harding,90060309736,Happiness Foods,90183724211
Donny Harding,90060309736,Holdup Suspenders,90185620619
Donny Harding,90060309736,Incoming Tasks,90091376248
Donny Harding,90060309736,Josh Rosebrook,90060991919
Donny Harding,90060309736,Milsek,90180833241
Donny Harding,90060309736,Recurring,90051384554
Donny Harding,90060309736,Rove Lab,90188146071
Donny Harding,90060309736,Stone Candles,90185620682
Donny Harding,90060309736,Synthetic Grass,90181685768
Donny Harding,90060309736,Tour Striker,90180833245
Donny Harding,90060309736,WIG Meetings,90182820626
Donny Harding,90060309736,WIG Meetings,90182820591
Gabriel Kalt,90185167057,General,901811528288
Gabriel Kalt,90185167057,Incoming Tasks,901811528076
Gabriel Kalt,90185167057,Josu,901810076454
Gabriel Kalt,90185167057,Nineteenth Golf Co,901811501847
Gabriel Kalt,90185167057,Pawtio,901810963252
Gabriel Kalt,90185167057,Roofing4us,90186803600
Gabriel Kalt,90185167057,SHO SUM,90187921743
Gabriel Kalt,90185167057,Safer Traffic Stops,90189575926
Gabriel Kalt,90185167057,Template,90186803329
Gabriel Kalt,90185167057,The Scented Angels,90186931193
Gabriel Kalt,90185167057,Vapore (My Pure Mist),901813444822
Gabriel Kalt,90185167057,Xtreme Ink,90060970869
Isaac Johnson,90183928246,AO Biome,90184861614
Isaac Johnson,90183928246,Dapper Davis,90187829568
Isaac Johnson,90183928246,Dumaplast,90183148416
Isaac Johnson,90183928246,Incoming Task,90184622336
