space_name,space_id,folder_name,folder_id
Accounting,90100492320,Bryan's Team,90101543397
Accounting,90100492320,General,90101543403
Accounting,90100492320,Incoming Tasks,90101543402
Accounting,90100492320,Liberty's Team,90184198287
Accounting,90100492320,Management Team,90101543392
Accounting,90100492320,Monthly Meetings,90180698131
Accounting,90100492320,Off Boarding,90182634244
Accounting,90100492320,On Boarding,90182634243
Accounting,90100492320,VA Tasks,90182137443
Audrey,90189087279,Brookhaven Farms ,901811225963
Audrey,90189087279,Catch America ,901812547559
Audrey,90189087279,Cedar Brands ,901813445493
Audrey,90189087279,Incoming Tasks,901812186000
Audrey,90189087279,ProSENDR,901812898784
Audrey,90189087279,USA Feature Media LLC ,901812184723
Beau,2365799,Bryan WIG,129065212
Beau,2365799,Cam WIG,129065213
Beau,2365799,Client Services ,129044002
Beau,2365799,Creative Home Ideas,86204640
Beau,2365799,Design Team ,90031723630
Beau,2365799,Distribution,135127486
Beau,2365799,Eli and Elm,90188127741
Beau,2365799,General Tasks,4460011
Beau,2365799,Inbox,90090234158
Beau,2365799,Kee WIG,129065217
Beau,2365799,Redmond,4387333
Brock,90060299713, Regine Tweezers,90186916014
Brock,90060299713,All Brands,90060990268
Brock,90060299713,Benchmark,90182136977
Brock,90060299713,Big Sky/Gold Plug,90101349610
Brock,90060299713,Client Offboarding Template,901810590505
Brock,90060299713,Creative Design Request,90184328826
Brock,90060299713,Cutting Edge Firewood,90184398724
Brock,90060299713,General,90060990310
Brock,90060299713,Gooseworks/Arterra,901811698500
Brock,90060299713,Incoming Tasks,90091376396
Brock,90060299713,Juvenon,90180761822
Brock,90060299713,Pedi Pocket,98157129
Brock,90060299713,SFH,90101369152
Brock,90060299713,SmartStraps (Distribution),901812469723
Brock,90060299713,Templates,90061086584
Brock,90060299713,WIGs,901811265113
Brock,90060299713,Winston,901812281733
Bryan's Team,2357587,Distribution Clients,90060096819
Bryan's Team,2357587,Franklin Planner,72119010
Bryan's Team,2357587,Gostrider,90090902136
Bryan's Team,2357587,I Keel You,40183909
Bryan's Team,2357587,Incoming Tasks,90060096817
Bryan's Team,2357587,Mic-Lock,115590104
Bryan's Team,2357587,Peanut's Bake Shop,40183910
Bryan's Team,2357587,REFERENCE,33761721
Bryan's Team,2357587,Rise Bar Energy,115778029
Bryan's Team,2357587,Status Accessories,90182973819
Bryan's Team,2357587,Sunwink,90185307861
Bryan's Team,2357587,Tropical Oasis,90180478666
Bryan's Team,2357587,VP Folder,901811497379
Cameron,2365772,Brand Analysis,90183780858
Cameron,2365772,Director Tasks,98692032
Cameron,2365772,Distribution,90183780990
Cameron,2365772,Incoming Tasks,90183947306
Cameron,2365772,Operations,90183781418
Cameron,2365772,Pro Lash,90060709421
Cameron,2365772,Warehouse Workflow,90183780855
Dallin,90187163477,Custom X,901812216224
Dallin,90187163477,Dallin WIG Meeting,90189819542
Dallin,90187163477,Fire One Up,90180540615
Dallin,90187163477,MyBennu,901810075652
Dallin,90187163477,Red Flower,90184163748
Dallin,90187163477,Task Management,901810587176
Distribution Account Management,901810568300,Distribution Tasks,901812499403
Distribution Account Management,901810568300,Evolved Distribution Acct,90185926868
Distribution Account Management,901810568300,Jensen Boys Acct,90185926865
Distribution Account Management,901810568300,🚀 Distribution Onboarding,901811951085
Distribution Operations,90182127048,Distribution SOP,90184602108
Distribution Operations,90182127048,Logistics/Mitch,901810560689
